sl_no,project_code,legacy_ocms_code,pmgid,project_name,state,implementing_agency,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,reporting_period,source_filename
610,,,,Gondia-Balharshah [Chanda Fort] Doubling [240 Km] (South East Central Railway) (617201),Maharashtra,,2025-04,2031-03,,4373.04,4373.04,0.29,0,2025-11,FlashReport_November_2025.pdf
611,,,,Doubling between Parbhani Parli Vaijanath stations 64.71 Km (South Central Railway [SCR] - II) (617215),Maharashtra,,2023-12,2028-03,,769.93,769.93,25.4,0,2025-11,FlashReport_November_2025.pdf
612,,,,Babupeth - Sasti New Rail Line [13.114 KMs] (CentralRailway) (617361),Maharashtra,,2024-10,2028-03,,362.81,362.81,0.47,0,2025-11,FlashReport_November_2025.pdf
613,,,,Double Chord line Between Nilaje-Kopar (CentralRailway) (617364),Maharashtra,,2025-01,2028-07,,338.33,205,6.39,0,2025-11,FlashReport_November_2025.pdf
614,,,,Western Region Video Surveillance Project (RCIL) (705300),Maharashtra,,2020-06,2023-12,,227.59,227.59,0,0,2025-11,FlashReport_November_2025.pdf
615,Central Railway [CR] - II,705356,,Ahmednagar - Beed - Parli - Vaijnath New Broad Gauge Line Railway Project [261.3,Maharashtra,km],1999-01,2026-03,2026-03,2538.67,4957.27,5140.63,98,2025-11,FlashReport_November_2025.pdf
616,,,,Baramati Lonand New Line Project (Central Railway) (705357),Maharashtra,,2016-03,2027-03,2027-03,138.48,1843.9,850.75,51,2025-11,FlashReport_November_2025.pdf
617,,,,Wadsa-Gadchiroli (South East Central Railway) (705479),Maharashtra,,2017-05,2027-03,2027-03,1886,1886,728.36,53,2025-11,FlashReport_November_2025.pdf
618,,,,3rd Line Kalyan - Kasara [67.35 Kilometres] (Central Railway) (705498),Maharashtra,,2015-09,2026-12,2026-12,792.89,1395.79,981.36,52,2025-11,FlashReport_November_2025.pdf
619,,,,3rd Line Wardha - Sewagram - Nagpur (Central Railway [CR] - II) (705500),Maharashtra,,2015-09,2025-12,2025-12,540.02,944.24,783.01,83,2025-11,FlashReport_November_2025.pdf
620,,,,3rd Line Wardha - Ballarshah [132 Kilometres] (Central Railway [CR] - II) (705502),Maharashtra,,2016-03,2025-12,2026-02,1384.72,2033.59,1713.23,80,2025-11,FlashReport_November_2025.pdf
621,,,,Pune - Miraj-Londa [467 Kilometres] (Central Railway) (705503),Maharashtra,,2016-06,2025-02,2025-08,4027.53,4872.52,4969.74,100,2025-11,FlashReport_November_2025.pdf
622,,,,Doubling of Daund Manmad Line [247.6 km] (Central Railway) (705504),Maharashtra,,2017-10,2025-12,2026-03,2081.27,3267.06,2874.47,92,2025-11,FlashReport_November_2025.pdf
623,,,,4th Line Wardha - Nagpur [78.7 Kilometres] (Central Railway [CR] - II) (705505),Maharashtra,,2017-04,2025-12,2026-02,637.95,1341.28,1012.82,83,2025-11,FlashReport_November_2025.pdf
624,,,,3rd Line Manmad - Jalgaon [160 Kilometres] (Central Railway [CR] - II) (705506),Maharashtra,,2017-05,2024-12,2025-08,1035.16,1558.75,1726.94,95,2025-11,FlashReport_November_2025.pdf
625,,,,Solapur-tuljapur-Osmanabad (Central Railway) (705735),Maharashtra,,2018-08,2027-03,2028-03,904.92,3295.74,1154.89,12,2025-11,FlashReport_November_2025.pdf
626,,,,Nagpur- Nagbhir Railway Line Gauge Conversion Project (MRIDC) (705799),Maharashtra,,2019-10,2025-12,2025-12,1400,1400,1472,80,2025-11,FlashReport_November_2025.pdf
627,,,,Mumbai Urban Transport Project [MUTP] - PHASE II (Mumbai Rail Vikas Corporation Ltd.[MRVC]) (706779),Maharashtra,,2008-05,2014-03,2027-12,8087,8087,7364,87,2025-11,FlashReport_November_2025.pdf
628,,,,Mumbai Urban Transport Project [MUTP] Phase-IIIA (Mumbai Rail Vikas Corporation Ltd.[MRVC]) (706780),Maharashtra,,2019-04,2027-12,2027-12,33690,33690,2805,16,2025-11,FlashReport_November_2025.pdf
629,,,,Mumbai Urban Transport Project Phase-III (Mumbai Rail Vikas Corporation Ltd.[MRVC]) (706781),Maharashtra,,2016-11,2022-03,2026-12,10947,10947,5588.85,65,2025-11,FlashReport_November_2025.pdf
630,,,,PACHORA-JAMNER WITH EXTENSION UPTO MALKAPUR NG TO BG (CR) (709808),Maharashtra,,2022-08,2027-08,2028-03,955.39,2093.82,130.42,11,2025-11,FlashReport_November_2025.pdf
631,,,,Jiribam-Imphal new line project (Northeast Frontier Railway [NFR]) (705391),Manipur,,2013-03,2026-12,2029-06,14323,21885.9,15782.48,72,2025-11,FlashReport_November_2025.pdf
632,,,,Marikuppam - Kuppam New Line Project [23.70 Km] (South Western Railway [SWR] - II) (705491),"Multi-States (Andhra Pradesh, Karnataka)",,2012-04,2026-06,2026-06,297,297,135.5,20,2025-11,FlashReport_November_2025.pdf
633,,,,Rayadurg-Tumkur via Kalyandurg New Line [207 km] (South Western Railway [SWR] - II) (705494),"Multi-States (Andhra Pradesh, Karnataka)",,2008-03,2015-09,2028-02,2496,2496,1787.43,70,2025-11,FlashReport_November_2025.pdf
634,,,,"Renigunta, Wadi & Gooty Bypass Railway Project (South Central Railway [SCR] - I) (705610)","Multi-States (Andhra Pradesh, Karnataka)",,2016-04,2025-12,2025-12,302,543,381,50,2025-11,FlashReport_November_2025.pdf
635,,,,Doubling between Mudkhed Medchal & Mahbubnagar Dhone section 417.88 Km (South Central Railway [SCR] - II) (617212),"Multi-States (Andhra Pradesh, Maharashtra, Telangana)",,2023-08,2029-03,,4686.09,4686.09,778.34,1,2025-11,FlashReport_November_2025.pdf
636,,,,Vizianagaram - Titlagarh 3rd line [272 Km including By - pass line of 7.68 KM] (RVNL - II) (400253),"Multi-States (Andhra Pradesh, Odisha)",,2016-06,2025-12,2025-12,4803,6669.91,5722.01,89,2025-11,FlashReport_November_2025.pdf
637,,,,Doubling of Kottavalasa-Koraput Rail Line [189 KM] (East Coast Railway [ECoR] - II) (705512),"Multi-States (Andhra Pradesh, Odisha)",,2015-12,2022-03,2028-03,2500,2500,2037.7,71,2025-11,FlashReport_November_2025.pdf
638,,,,Vizianagaram-Sambhalpur 3rd Line Project (RVNL) (705520),"Multi-States (Andhra Pradesh, Odisha)",,2016-06,2025-03,,4803.16,4803.16,2979.23,0,2025-11,FlashReport_November_2025.pdf
639,,,,Tindivanam-Nagari New Line Project [184.5 km] (Ministry of Railways) (400275),"Multi-States (Andhra Pradesh, Tamil Nadu)",,2008-07,2025-09,2028-03,3631,3631,1113.53,18,2025-11,FlashReport_November_2025.pdf
640,South Central Railway [SCR] - II,616857,,Doubling between Motumari Vishnupuram - 88.81 Km and Rail over Rail - RoR at,"Multi-States (Andhra Pradesh, Telangana)",Motumari - 10.877 Km,2024-02,2029-03,,1595.55,1595.55,14.45,1,2025-11,FlashReport_November_2025.pdf
641,,,,Doubling of Guntur Bibinagar 239 Km (South Central Railway [SCR] - II) (617211),"Multi-States (Andhra Pradesh, Telangana)",,2023-08,2029-03,,2853.23,2853.23,75.78,1,2025-11,FlashReport_November_2025.pdf
642,,,,Rail Connectivity to Errupalem Amravati Namburu 57 Km (South Central Railway [SCR] - II) (617214),"Multi-States (Andhra Pradesh, Telangana)",,2024-11,2027-03,,2047.4,2047.4,14.49,0,2025-11,FlashReport_November_2025.pdf
643,,,,Kazipet-Vijayawada 3rd line with electrification [220 km] (South Central Railway [SCR] - II) (705612),"Multi-States (Andhra Pradesh, Telangana)",,2013-03,2025-02,2025-12,1953,3363,3625.29,94,2025-11,FlashReport_November_2025.pdf
644,,,,Vijayawada - Kazipet Byepass line (South Central Railway [SCR] - II) (705632),"Multi-States (Andhra Pradesh, Telangana)",,2016-04,2025-01,2025-12,647,904,973.78,93,2025-11,FlashReport_November_2025.pdf
645,,,,Murkongselek-Pasighat (Northeast Frontier Railway (NFR) - II) (705401),"Multi-States (Arunachal Pradesh, Assam)",,2011-02,2025-03,2026-05,435,1250,771.1,62,2025-11,FlashReport_November_2025.pdf
646,,,,Lumding Furkating Doubling Project 140 km (Northeast Frontier Railway [NFR]) (616701),"Multi-States (Assam, Nagaland)",,2024-02,2028-02,,2123.7,2123.7,13.74,0,2025-11,FlashReport_November_2025.pdf
647,,,,Dimapur [Dhansiri]-Sukhobi Kohima [Zubza] NL [82.5 Km] (Northeast Frontier Railway [NFR]) (705392),"Multi-States (Assam, Nagaland)",,2015-08,2025-03,2025-12,6663,6663,5634.59,81,2025-11,FlashReport_November_2025.pdf
648,,,,New Delhi- Howrah Speed Booster[160Kmph] Project (PCE/NCR) (705794),"Multi-States (Bihar, Delhi, Jharkhand, Uttar Pradesh, West Bengal)",,2019-09,2024-03,,6684.81,6684.81,127.03,0,2025-11,FlashReport_November_2025.pdf
649,,,,Third Railway Line between Patratu-Sonnagar [281 kms] (RVNL - II) (400234),"Multi-States (Bihar, Jharkhand)",,2016-11,2026-03,2026-07,8975,8975,4950,88,2025-11,FlashReport_November_2025.pdf
650,,,,Multi tracking of Son Nagar-Andal 374.53 rkm & 814.38 tkm (East Central Railway [ECR] - I) (616699),"Multi-States (Bihar, Jharkhand)",,2023-08,2028-03,,12333.57,12333.6,420.86,13,2025-11,FlashReport_November_2025.pdf
651,,,,Koderma-Tilaiya New Line (East Central Railway [ECR] - I) (705375),"Multi-States (Bihar, Jharkhand)",,2004-11,2025-02,2026-02,1626,2486.62,2122.42,94,2025-11,FlashReport_November_2025.pdf
652,,,,Pirpainti - Jasidih [100.52 Km] New BG line (Eastern Railway [ER] - I) (705385),"Multi-States (Bihar, Jharkhand)",,2014-03,2028-03,2028-03,2555,2555,784.18,49,2025-11,FlashReport_November_2025.pdf
653,North Eastern Railway [NER],611669,,NER Provision of Automatic Block Signalling on Gorakhpur Cantt[Excl] Chhapra,"Multi-States (Bihar, Uttar Pradesh)",Gramin & Burhwal Jn [Excl] Sitapur Jn section of high density routes,,2027-03,,380.47,380.47,24.53,0,2025-11,FlashReport_November_2025.pdf
654,,,,Gorakhpur-Valmikinagar Doubling project (NER) (617224),"Multi-States (Bihar, Uttar Pradesh)",,2023-08,2027-12,,1120,1120,269.67,26,2025-11,FlashReport_November_2025.pdf
655,,,,Chhapra-Ballia Patch Doubling (North Eastern Railway [NER]) (705562),"Multi-States (Bihar, Uttar Pradesh)",,2013-03,2025-02,2026-03,963,1046,912.16,95,2025-11,FlashReport_November_2025.pdf
656,,,,Katihar - Kumedpur Doubling Line Project (GM/C/ NFR) (706844),"Multi-States (Bihar, West Bengal)",,2022-08,2027-08,2027-08,942,942,356,45,2025-11,FlashReport_November_2025.pdf
657,,,,Rajnandgaon - Nagpur [Kalumna] Third Railway Line [228.30 km] (South East Central Railway [SECR] - II) (705617),"Multi-States (Chhattisgarh, Maharashtra)",,2016-09,2024-12,2026-06,3545,3545,3518.69,96,2025-11,FlashReport_November_2025.pdf
658,,,,Sardega -Bhalumuda New Double line [37.24 Km] (SECR) (617390),"Multi-States (Chhattisgarh, Odisha)",,2024-09,2028-03,,1281.81,1281.81,128,2,2025-11,FlashReport_November_2025.pdf
659,,,,Jagdalpur-Koraput (East Coast Railway [ECoR] - II) (705511),"Multi-States (Chhattisgarh, Odisha)",,2015-12,2024-03,2026-12,1547,1547,1336.83,91,2025-11,FlashReport_November_2025.pdf
660,,,,Jharsuguda-Bilaspur Fourth Railway Line [206 km] (SECR) (705616),"Multi-States (Chhattisgarh, Odisha)",,2016-09,2024-10,2026-03,2140,2979,2189.75,93,2025-11,FlashReport_November_2025.pdf
661,,,,Mumbai-Ahmedabad High Speed Rail Project- 508 km (National High Speed Rail Corporation [NHSRC]) (705728),"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",,2015-03,2027-08,2029-12,108000,108000,84199.89,55,2025-11,FlashReport_November_2025.pdf
662,,,,New Delhi- Mumbai Speed Booster[160Kmph] Project (PCE/WR) (705793),"Multi-States (Delhi, Gujarat, Madhya Pradesh, Maharashtra, Rajasthan)",,2019-09,2024-03,,6806.44,6806.44,135.65,0,2025-11,FlashReport_November_2025.pdf
663,,,,Hospet - Tinaighat - Vasco Rail Doubling Project (RVNL - II) (705650),"Multi-States (Goa, Karnataka)",,2010-03,2027-03,2027-12,5060,5060,5246.91,86,2025-11,FlashReport_November_2025.pdf
664,,,,Hospet-Hubli-Vasco da Gama Line Electrification Project (RVNL) (706950),"Multi-States (Goa, Karnataka)",,2015-07,2023-03,2024-03,744.49,1122.62,969.05,95,2025-11,FlashReport_November_2025.pdf
665,,,,Western Dedicated Freight Corridor (DFCCIL) (705237),"Multi-States (Gujarat, Haryana, Maharashtra, Rajasthan, Uttar Pradesh)",,2008-02,2022-03,2025-12,51101,124005,124623,96,2025-11,FlashReport_November_2025.pdf
666,,,,"New line Dahod-Indore via Sardarpur, Jabuwa and Dhar (Western Railway [WR] - II) (705453)","Multi-States (Gujarat, Madhya Pradesh)",,2012-06,2027-02,2027-02,456.07,3516.77,3725.91,50,2025-11,FlashReport_November_2025.pdf
667,,,,Chhota Udaipur - Dhar New Line Project [157 km] (Western Railway [WR] - II) (705454),"Multi-States (Gujarat, Madhya Pradesh)",,2008-11,2025-12,2025-12,1794,1794,1815.94,80,2025-11,FlashReport_November_2025.pdf
668,Western Railway,611452,,MUMBAI CENTRAL VIRAR VADODARA AHMEDABAAD TRAIN PROTECTION,"Multi-States (Gujarat, Maharashtra)",SYSTEM 500 RKM,2019-09,2025-12,2026-12,311,311,263.42,93,2025-11,FlashReport_November_2025.pdf
669,,,,Taranga Hill-Abu Road via Ambaji (North Western Railway [NWR]) (400022),"Multi-States (Gujarat, Rajasthan)",,2022-07,2030-07,2030-07,2798,2798,2037.04,17,2025-11,FlashReport_November_2025.pdf
670,,,,LUNI- SAMDARI- BHILDI DOUBLING (North Western Railway [NWR]) (616842),"Multi-States (Gujarat, Rajasthan)",,2024-02,2027-07,,3085.59,3085.59,363.31,13,2025-11,FlashReport_November_2025.pdf
671,,,,Chandigarh-Baddi New Rail Line- 36 km (Northen Railway [NR]) (705424),"Multi-States (Haryana, Himachal Pradesh)",,2018-02,2026-12,2026-12,1540,1540.13,539.29,35,2025-11,FlashReport_November_2025.pdf
672,,,,Rewari - Kathuwas Doubling Project [27.72 Km] (North Western Railway [NWR]) (611861),"Multi-States (Haryana, Rajasthan)",,2023-02,2027-06,2027-06,352,352,275.26,66,2025-11,FlashReport_November_2025.pdf
673,Northen Railway [NR],705410,,Nangal Dam-Talwara New Broad Gauge Line [84 KM] and Taking Over Siding,"Multi-States (Himachal Pradesh, Punjab)",Mukerian-Talwara [29 KM],1983-03,2025-12,2027-12,2018,2018,2259.62,82,2025-11,FlashReport_November_2025.pdf
674,,,,Bhanupalli-Bilaspur-Beri New Railway Line Project (RVNL - II) (705428),"Multi-States (Himachal Pradesh, Punjab)",,2009-03,2026-12,2027-12,13447,13447,7008.64,61,2025-11,FlashReport_November_2025.pdf
675,,,,Doubling of Hatia [Ranchi]-Bondamunda Rail Line - 159 km (South Eastern Railway - JH) (705628),"Multi-States (Jharkhand, Odisha)",,2016-03,2025-06,2026-06,3029,3029.04,2525.28,87,2025-11,FlashReport_November_2025.pdf
676,,,,Buramara-Chakulia new line [59.96 km] (South Eastern Railway [SER] - I) (616588),"Multi-States (Jharkhand, Odisha, West Bengal)",,2024-08,2029-12,,1459.13,1459.13,3.33,0,2025-11,FlashReport_November_2025.pdf
677,,,,Chandil - Anara - Damodar - 3rd line [121.26 km] (CAO/C/SER) (616227),"Multi-States (Jharkhand, West Bengal)",,2024-09,2029-09,,1932.01,1932.01,0.3,0,2025-11,FlashReport_November_2025.pdf
678,,,,KHARAGPUR-ADITYAPUR THIRD RAIL LINE- 132 KM (RVNL - I) (705668),"Multi-States (Jharkhand, West Bengal)",,2016-09,2025-03,2025-12,3250,3250,3176.46,97,2025-11,FlashReport_November_2025.pdf
679,,,,Hotgi-Kudgi-Gadag Doubling Project (South Western Railway [SWR] - II) (705662),"Multi-States (Karnataka, Maharashtra)",,2014-04,2024-12,2026-03,1878,2459,2684.67,92,2025-11,FlashReport_November_2025.pdf
680,,,,Baiyyappanahalli - Hosur Doubling Project [48 km] (Karnataka Rail Infrastructure Development Company Limited [K-RIDE]) (703586),"Multi-States (Karnataka, Tamil Nadu)",,2019-04,2024-03,2026-01,498.7,748.7,630.41,86,2025-11,FlashReport_November_2025.pdf
681,,,,Trivandrum- Kanyakumari (Southern Railway (SR) - I) (705635),"Multi-States (Kerala, Tamil Nadu)",,2017-08,2025-03,2026-12,1432,3785.45,2505.8,50,2025-11,FlashReport_November_2025.pdf
682,,,,Ratlam-Mhow-Khandwa-Akola Gauge Conversion (Western Railway [WR] - II) (705457),"Multi-States (Madhya Pradesh, Maharashtra)",,2008-04,2027-03,2028-09,1656.25,6499.86,4445.82,81,2025-11,FlashReport_November_2025.pdf
683,,,,Itarsi - Nagpur Third Railway Line [280 km] (Central Railway (CR) - II) (705507),"Multi-States (Madhya Pradesh, Maharashtra)",,2016-09,2027-03,2027-12,2449.91,2506.68,1937.22,55,2025-11,FlashReport_November_2025.pdf
684,,,,RATLAM- DUNGARPUR VIA BANSWARA NEW LINE PROJECT (North Western Railway [NWR]) (617406),"Multi-States (Madhya Pradesh, Rajasthan)",,2015-10,2028-03,,2417.24,2417.24,6.79,8,2025-11,FlashReport_November_2025.pdf
685,,,,Gwalior - Seopurkala with extension to Kota [Gauge Conversion] (North Central Railway) (705419),"Multi-States (Madhya Pradesh, Rajasthan)",,2011-03,2025-03,2026-02,2913,2913,2120.66,85,2025-11,FlashReport_November_2025.pdf
686,,,,Ramganjmandi-Bhopal New Line Project [262 km] (West Central Railway [WCR] - II) (705481),"Multi-States (Madhya Pradesh, Rajasthan)",,2001-03,2025-12,2027-12,3032,5073,3764.11,70,2025-11,FlashReport_November_2025.pdf
687,,,,Nimach-Badi Sadri New Rail Line Project (Western Railway [WR] - II) (705764),"Multi-States (Madhya Pradesh, Rajasthan)",,2017-04,2026-03,2026-06,495,825,130.09,57,2025-11,FlashReport_November_2025.pdf
688,,,,Mathura-Jhansi Third Railway Line [274 Km] (RVNL - II) (705667),"Multi-States (Madhya Pradesh, Rajasthan, Uttar Pradesh)",,2015-12,2024-12,2026-12,5961,5961,4990.85,94,2025-11,FlashReport_November_2025.pdf
689,,,,Jhansi - Bina Third Railway Line [153 Km] (CAO/C/NCR) (705598),"Multi-States (Madhya Pradesh, Uttar Pradesh)",,2016-09,2022-03,2026-03,2002,2002,1831.86,93,2025-11,FlashReport_November_2025.pdf
690,,,,Jhansi-Khairar-Manikpur & Khirar-Bhimsen (North Central Railway) (705608),"Multi-States (Madhya Pradesh, Uttar Pradesh)",,2018-03,2026-03,2026-03,4330,4330,2456.1,62,2025-11,FlashReport_November_2025.pdf
691,,,,Third Line [new] between Kazipet - Balharshah with electrification [201.04 Km] (South Central Railway [SCR] - II) (705613),"Multi-States (Maharashtra, Telangana)",,2016-09,2025-01,2025-11,2595,3071,3409.31,94,2025-11,FlashReport_November_2025.pdf
692,,,,Narayangarh-Bhadrak 3rd line (South Eastern Railway [SER] - I) (705629),"Multi-States (Odisha, West Bengal)",,2019-03,2025-12,2026-06,2400,3425.32,2344.37,66,2025-11,FlashReport_November_2025.pdf
693,,,,Nagapattinam-Tiruturaipundi and Karaikal-Peralam New Line (Ministry of Railways) (400223),"Multi-States (Puducherry, Tamil Nadu)",,2008-07,2027-03,2028-03,713,981,598.38,80,2025-11,FlashReport_November_2025.pdf
694,,,,Sivok-Rangpo New Rail Line (Indian Railway Construction International Limited [IRCON]) (705432),"Multi-States (Sikkim, West Bengal)",,2009-10,2015-05,2027-12,7877,11775,9647.55,89,2025-11,FlashReport_November_2025.pdf
695,,,,"Sainthia, Sitarampur, Mughalsarai, Allahabad & Etawah - Bypass Line Project (Eastern Railway [ER] - I) (602797)","Multi-States (Uttar Pradesh, West Bengal)",,2017-08,2027-03,2027-03,461.64,461.64,193.39,8,2025-11,FlashReport_November_2025.pdf
696,East Coast Railway [ECoR] - II,400045,,Proposed 6 nos Road Over Bridge [ROB] at different locations under MCL Talcher,Odisha,Under Deposit Scheme.,2022-08,2025-03,2025-01,168.32,168.32,69.85,82,2025-11,FlashReport_November_2025.pdf
697,,,,Brundamal-Jharsuguda- flyover connection for joining downline (East Coast Railway [ECoR] - II) (400232),Odisha,,2014-01,2026-12,2026-12,297,297,209.57,45,2025-11,FlashReport_November_2025.pdf
698,,,,3rd & 4th line between Sarla - Sason [8 km] [PB 73/2023-24/NR] (East Coast Railway [ECoR] - II) (612834),Odisha,,2023-04,2025-12,,252,252,91.45,65,2025-11,FlashReport_November_2025.pdf
699,,,,Bangriposi-Gorumahisani new line [ 85.60 km ] (CAO/C/SER) (616586),Odisha,,2024-08,2029-12,,2269.49,2269.49,4.08,0,2025-11,FlashReport_November_2025.pdf
700,,,,Badampahar-Kendujhargarh new line [82.06 km] (CAO/C/SER) (616587),Odisha,,2024-08,2029-12,,1875.72,1875.72,1.04,0,2025-11,FlashReport_November_2025.pdf
701,,,,Paradeep - Badabandha 3rd & 4th Line / 18.51kms (East Coast Railway [ECoR] - II) (616695),Odisha,,2023-08,2028-11,,300.15,300.15,0,0,2025-11,FlashReport_November_2025.pdf
702,,,,Khurda-Bolangir New Broad Gauge Rail Link [301km] (East Coast Railway [ECoR] - II) (705358),Odisha,,1994-03,2026-12,2026-12,3792,5089,5194.05,89,2025-11,FlashReport_November_2025.pdf
703,,,,Talcher-Bimlagarh New Railway Line (East Coast Railway [ECoR] - II) (705359),Odisha,,2004-03,2025-03,2027-03,1928,1928,1972.31,49,2025-11,FlashReport_November_2025.pdf
704,,,,Bhadrak-Nergundi Third Line (East Coast Railway [ECoR] - II) (705510),Odisha,,2015-10,2024-11,2026-01,1284,1284,1298,80,2025-11,FlashReport_November_2025.pdf
705,,,,Koraput - Singapur Railway Doubling (East Coast Railway [ECoR] - II) (705513),Odisha,,2015-12,2027-12,2028-03,2362,2362,1834.53,70,2025-11,FlashReport_November_2025.pdf
706,,,,Jarapada- Budhapank with flyover at Talcher road 3rd and 4th Line (East Coast Railway [ECoR] - II) (705514),Odisha,,2015-11,2018-11,2026-03,1000,810.02,421.59,58,2025-11,FlashReport_November_2025.pdf
707,,,,3rd & 4th Railway Line Project from Salegaon to Budhapank via Rajathgarh. (East Coast Railway [ECoR] - II) (705515),Odisha,,2013-07,2026-03,2026-03,1173,2092,1971,80,2025-11,FlashReport_November_2025.pdf
708,,,,Jeypore-Navarangpur New Rail Line Project (East Coast Railway [ECoR] - II) (705741),Odisha,,2017-07,2028-07,2029-12,748,748,12.76,1,2025-11,FlashReport_November_2025.pdf
709,,,,Jeypore-Malkanagiri New Railway Line Project (East Coast Railway [ECoR] - II) (705742),Odisha,,2018-02,2033-07,2033-07,2344,2344,490.13,20,2025-11,FlashReport_November_2025.pdf
710,,,,Khurda Road - Balangir Electrification of Railway Track Project (Ministry of Railways) (706898),Odisha,,2018-09,2021-03,,267.61,267.61,0,0,2025-11,FlashReport_November_2025.pdf
711,,,,GANDHAMARDAN IRON ORE MINES TO GOALDIH STATION/12.76kms (East Coast Railway [ECoR] - II) (709811),Odisha,,2022-09,2027-09,2027-09,190,189.93,0,0,2025-11,FlashReport_November_2025.pdf
712,,,,"Jaynagar-Bijalpura, incl. extn. Bet, Bijalpura-Bardibas [Nepal] (East Central Railway [ECR] - I) (705362)",Offshore,,2015-08,2022-03,2026-03,819,819,580.51,75,2025-11,FlashReport_November_2025.pdf
713,,,,Ludhiana- Killa Raipur Railway Doubling Project (Railway) (705783),Punjab,,2019-03,2025-03,2026-03,237.64,238,134.48,50,2025-11,FlashReport_November_2025.pdf
714,,,,Dedicated Test Track for RDSO Phase II (North Western Railway [NWR]) (611614),Rajasthan,,2021-11,2026-11,2026-11,819.48,967.06,471,86,2025-11,FlashReport_November_2025.pdf
715,North Western Railway [NWR],611849,,Devgarh Madariya - Nathdwara Gauge Conversion [82.54 Km] part of Marwar - Mavli,Rajasthan,Gauge Conversion [152 Km],2023-01,2028-06,2028-06,968.92,968.92,151.53,52,2025-11,FlashReport_November_2025.pdf
716,WPO/Patna,611929,,Maintenance cum workshop depot for Vande Bharat Sleeper Trains as per conditions,Rajasthan,under WTA 527,2022-09,2024-12,,166.86,166.86,0,0,2025-11,FlashReport_November_2025.pdf
717,,,,PUSHKAR- MERTA CITY NEW LINE (North Western Railway [NWR]) (616841),Rajasthan,,2024-02,2026-12,,799.64,799.64,14.64,4,2025-11,FlashReport_November_2025.pdf
718,,,,AJMER- CHANDERIYA DOUBLING (North Western Railway [NWR]) (616843),Rajasthan,,2024-02,2027-06,,1634.79,1634.79,140.65,7,2025-11,FlashReport_November_2025.pdf
719,,,,SADULPUR - CHURU DOUBLING PROJECT (North Western Railway [NWR]) (617403),Rajasthan,,2024-01,2026-06,,468.64,468.64,128.6,52,2025-11,FlashReport_November_2025.pdf
720,,,,POKHRAN - RAMDEVRA New Line (North Western Railway [NWR]) (617404),Rajasthan,,2025-04,2028-03,,189.21,189.21,0,0,2025-11,FlashReport_November_2025.pdf
721,,,,NATHDWARA- NATHDWARA TOWN NL (North Western Railway [NWR]) (617408),Rajasthan,,2019-03,2027-03,,166.33,166.33,83.34,2,2025-11,FlashReport_November_2025.pdf
722,,,,Dholpur - Sirmuttra Gauge Conversion (North Central Railway) (705482),Rajasthan,,2022-03,2019-02,2027-02,747,747,431.82,44,2025-11,FlashReport_November_2025.pdf
723,,,,Gudha-Thatha Mithri Construction of Railway Track Project (North Western Railway [NWR]) (705752),Rajasthan,,2019-04,2026-11,2026-11,819.48,967.06,393.06,99,2025-11,FlashReport_November_2025.pdf
724,,,,Sawai Madhopur-Jaipur Railway Line Project (North Western Railway [NWR]) (705912),Rajasthan,,2024-02,2027-03,,1203.89,1203.89,109.85,13,2025-11,FlashReport_November_2025.pdf
725,,,,Agra Fort-Bandikui Doubling Line Project (CAO/C/NCR) (705919),Rajasthan,,2022-06,2027-06,2027-06,1390,1390,123,25,2025-11,FlashReport_November_2025.pdf
726,,,,Sawaimadhopur Bye Pass Line Project (North Western Railway [NWR]) (706866),Rajasthan,,2022-12,2026-03,2027-05,304,304,53,46,2025-11,FlashReport_November_2025.pdf
727,,,,Ph II extension of MRTS from Velachery to St Thomas Mount (Ministry of Railways) (400280),Tamil Nadu,,2007-11,2025-07,2025-09,734,734.01,475.73,99,2025-11,FlashReport_November_2025.pdf
728,,,,Redevelopment of Chennai Egmore Station (Ministry of Railways) (613002),Tamil Nadu,,2022-05,2026-03,,842,842,340,0,2025-11,FlashReport_November_2025.pdf
729,,,,Coach Production Factory Upgradation Project (CPM/ICF) (705244),Tamil Nadu,,2017-12,2021-12,,520,520,192.25,0,2025-11,FlashReport_November_2025.pdf
730,,,,Doubling between Bhadrachalam Road and Dornakal (South Central Railway [SCR] - II) (616856),Telangana,,2023-08,2029-04,,770.12,770.12,16.34,0,2025-11,FlashReport_November_2025.pdf
731,,,,Railway Manufacturing Unit (South Central Railway [SCR] - II) (617409),Telangana,,2016-07,2026-12,,521.36,521.36,420,58,2025-11,FlashReport_November_2025.pdf
732,,,,Kazipet Wagon Overhauling Project (RVNL) (705252),Telangana,,2017-09,2023-12,,385,385,0,0,2025-11,FlashReport_November_2025.pdf
733,,,,Manoharabad-Kothapalli New Rail Line [151 km] (South Central Railway [SCR] - II) (705437),Telangana,,2016-07,2027-03,2027-12,1160,2781,2116.77,71,2025-11,FlashReport_November_2025.pdf
734,,,,Bahraich-Shravasti-Balrampur-Siddharthnagar -Santkabir nagar (North Eastern Railway [NER]) (400204),Uttar Pradesh,,2018-10,2030-10,2030-10,4939.78,4939.78,1253.71,8,2025-11,FlashReport_November_2025.pdf
